code,file,path,reason,other_codes_sample
00501,綠鞋悉行.pdf,docs/00501 豪威集团/綠鞋悉行.pdf,code_and_name_miss_but_other_code_present,00015;00565;14105
01333,穩價期終.pdf,docs/01333 博雷顿/穩價期終.pdf,code_and_name_miss_but_other_code_present,00015;00565
01641,穩價期終.pdf,docs/01641 红星冷链/穩價期終.pdf,code_and_name_miss_but_other_code_present,00015;00565
02539,穩價期終.pdf,docs/02539 乐摩科技/穩價期終.pdf,code_and_name_miss_but_other_code_present,00015
02546,穩價期終.pdf,docs/02546 智汇矿业/穩價期終.pdf,code_and_name_miss_but_other_code_present,00015;00565
02565,穩價期終.pdf,docs/02565 派格生物医药-B/穩價期終.pdf,code_and_name_miss_but_other_code_present,00015;00565
02569,穩價期終.pdf,docs/02569 舒宝国际/穩價期終.pdf,code_and_name_miss_but_other_code_present,00015;00565
02573,穩價期終.pdf,docs/02573 新琪安/穩價期終.pdf,code_and_name_miss_but_other_code_present,00015;00565
02583,穩價期終.pdf,docs/02583 西普尼/穩價期終.pdf,code_and_name_miss_but_other_code_present,00015;00565
02591,穩價期終.pdf,docs/02591 银诺医药-B/穩價期終.pdf,code_and_name_miss_but_other_code_present,00015;00565
02592,穩價期終.pdf,docs/02592 拨康视云-B/穩價期終.pdf,code_and_name_miss_but_other_code_present,00015;00565
02597,綠鞋悉行.pdf,docs/02597 讯众通信/綠鞋悉行.pdf,code_and_name_miss_but_other_code_present,00015;00565
02603,穩價期終.pdf,docs/02603 吉宏股份/穩價期終.pdf,code_and_name_miss_but_other_code_present,00015;00565
02609,穩價期終.pdf,docs/02609 佰泽医疗/穩價期終.pdf,code_and_name_miss_but_other_code_present,00015;00565
02627,綠鞋悉行.pdf,docs/02627 中慧生物-B/綠鞋悉行.pdf,code_and_name_miss_but_other_code_present,00015;00565;14105
02629,穩價期終.pdf,docs/02629 MIRXES-B/穩價期終.pdf,code_and_name_miss_but_other_code_present,00015;00565
02652,穩價期終.pdf,docs/02652 长风药业/穩價期終.pdf,code_and_name_miss_but_other_code_present,00015;00565
02655,綠鞋悉行.pdf,docs/02655 果下科技/綠鞋悉行.pdf,code_and_name_miss_but_other_code_present,00015;00565;14105
02656,綠鞋悉行.pdf,docs/02656 健康160/綠鞋悉行.pdf,code_and_name_miss_but_other_code_present,00015;00565;14105
02661,綠鞋悉行.pdf,docs/02661 轻松健康/綠鞋悉行.pdf,code_and_name_miss_but_other_code_present,00015;00565;14105
02671,穩價期終.pdf,docs/02671 美联股份/穩價期終.pdf,code_and_name_miss_but_other_code_present,00015;00565
02695,穩價期終.pdf,docs/02695 印象大红袍/穩價期終.pdf,code_and_name_miss_but_other_code_present,00015;00565
02720,綠鞋悉行.pdf,docs/02720 乐欣户外/綠鞋悉行.pdf,code_and_name_miss_but_other_code_present,00015;00565
02788,綠鞋悉行.pdf,docs/02788 创新实业/綠鞋悉行.pdf,code_and_name_miss_but_other_code_present,00015;00565;14105
03986,綠鞋悉行.pdf,docs/03986 兆易创新/綠鞋悉行.pdf,code_and_name_miss_but_other_code_present,00015;00565;14105
06090,穩價期終.pdf,docs/06090 不同集团/穩價期終.pdf,code_and_name_miss_but_other_code_present,00015;00565
06809,綠鞋悉行.pdf,docs/06809 澜起科技/綠鞋悉行.pdf,code_and_name_miss_but_other_code_present,00015;00565;14105
06980,穩價期終.pdf,docs/06980 八马茶业/穩價期終.pdf,code_and_name_miss_but_other_code_present,00015;00565
08610,正式通告.pdf,docs/08610 BBSB INTL/正式通告.pdf,code_and_name_miss_but_other_code_present,00015;00565
09980,穩價期終.pdf,docs/09980 东鹏饮料/穩價期終.pdf,code_and_name_miss_but_other_code_present,00015;00565
09980,綠鞋悉行.pdf,docs/09980 东鹏饮料/綠鞋悉行.pdf,code_and_name_miss_but_other_code_present,00015;00565;14105
09981,穩價期終.pdf,docs/09981 沃尔核材/穩價期終.pdf,code_and_name_miss_but_other_code_present,00015;00565
